nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,5,25,0.25,1,mixed,Model5,t.distr,0.5,TRUE,11.83,10.19,12.3,8.8,7.77,8.88,19.75,8.67
10000,1000,5,5,5,25,0.75,1,mixed,Model7,normal,0.5,TRUE,9.17,11.16,8.46,11.23,7.33,11.29,16.66,9.17
10000,1000,5,5,5,25,0,1,mixed,Model4,t.distr,0.5,TRUE,6.74,6.69,5.68,5.59,3.23,5.56,9.44,5.26
10000,1000,5,5,5,25,0,1,mixed,Model6,t.distr,0.5,TRUE,12.51,10.88,14.27,10.27,8.12,9.34,20.41,8.44
10000,1000,5,5,5,25,0.25,1,mixed,Model7,t.distr,0.5,TRUE,9.11,9.73,8.86,9.77,5.21,9.21,14.31,8.82
10000,1000,5,5,5,25,0.25,1,mixed,Model6,t.distr,0.5,TRUE,13.63,11.29,14.97,10.46,9.31,10.01,22.15,8.93
10000,1000,5,5,5,25,0.75,1,mixed,Model6,normal,0.5,TRUE,13.37,11.97,13.75,11.12,11.31,10.63,24.15,8.12
10000,1000,5,5,5,25,0.5,1,mixed,Model4,normal,0.5,TRUE,6.19,6.19,5.47,5.21,4.24,5.55,10.65,4.94
10000,1000,5,5,5,25,0.75,1,mixed,Model4,normal,0.5,TRUE,6.6,6.52,5.62,5.58,4.79,5.22,10.95,4.44
10000,1000,5,5,5,25,0,1,mixed,Model5,normal,0.5,TRUE,9.78,8.94,10.71,8.12,7.67,8.84,18.58,8.58
10000,1000,5,5,5,25,0.5,1,mixed,Model6,normal,0.5,TRUE,12.17,10.99,13.03,10.31,9.87,9.91,22.27,8.44
10000,1000,5,5,5,25,0.25,1,mixed,Model4,normal,0.5,TRUE,6.32,6.18,5.42,5.09,3.88,5.81,10.3,5.48
10000,1000,5,5,5,25,0.5,1,mixed,Model5,t.distr,0.5,TRUE,12.65,10.78,12.81,9.66,8.7,9.15,21.1,8.77
10000,1000,5,5,5,25,0.75,1,mixed,Model5,t.distr,0.5,TRUE,14.37,12.62,14.03,10.82,10.65,10.19,23.96,8.93
10000,1000,5,5,5,25,0,1,mixed,Model7,normal,0.5,TRUE,8.22,8.7,7.98,8.22,5.34,8.55,14.21,8.07
10000,1000,5,5,5,25,0.5,1,mixed,Model7,t.distr,0.5,TRUE,9.95,10.9,9.14,11.36,5.75,9.98,15.13,9.37
10000,1000,5,5,5,25,0.5,1,mixed,Model5,normal,0.5,TRUE,10.99,9.97,11.29,9.21,9.19,9.59,20.93,8.75
10000,1000,5,5,5,25,0.75,1,mixed,Model5,normal,0.5,TRUE,11.93,10.8,11.81,9.87,10.42,10.04,22.82,8.52
10000,1000,5,5,5,25,0.75,1,mixed,Model7,t.distr,0.5,TRUE,10.89,13.28,10.01,13.55,6.87,12,17.57,10.12
10000,1000,5,5,5,25,0.5,1,mixed,Model4,t.distr,0.5,TRUE,6.24,6.39,5.35,5.08,3.33,4.97,9.79,4.56
10000,1000,5,5,5,25,0.75,1,mixed,Model4,t.distr,0.5,TRUE,6.71,6.72,5.4,5.41,3.89,4.38,10.33,3.69
10000,1000,5,5,5,25,0,1,mixed,Model7,t.distr,0.5,TRUE,8.95,9.42,8.87,9.14,4.98,8.83,13.83,8.71
10000,1000,5,5,10,25,0.75,1,mixed,Model5,t.distr,0.5,TRUE,14.5,13.24,16.63,13.15,12.17,11.64,26.19,10.23
10000,1000,5,5,5,25,0.25,1,mixed,Model5,normal,0.5,TRUE,10.52,9.42,10.95,8.44,8.37,9.31,19.23,8.89
10000,1000,5,5,10,25,0,1,mixed,Model1,normal,0.5,TRUE,6.58,6.72,6.23,5.8,4.16,5.95,9.91,4.64
10000,1000,5,5,10,25,0.5,1,mixed,Model1,t.distr,0.5,TRUE,6.51,6.67,6.3,5.73,3.48,5.21,9.5,3.87
10000,1000,5,5,10,25,0,1,mixed,Model4,t.distr,0.5,TRUE,6.62,6.73,6.31,5.65,3.61,5.66,10.54,5.67
10000,1000,5,5,10,25,0.25,1,mixed,Model6,normal,0.5,TRUE,11.77,10.39,15.23,10.36,10.53,10.48,23.46,9.25
10000,1000,5,5,10,25,0.75,1,mixed,Model2,normal,0.5,TRUE,9.88,9.66,10.56,10.16,7.63,10.81,17.82,7.75
10000,1000,5,5,10,25,0.25,1,mixed,Model4,t.distr,0.5,TRUE,6.63,6.5,6.31,5.47,3.63,5.53,10.21,5.23
10000,1000,5,5,5,25,0,1,mixed,Model6,normal,0.5,TRUE,10.36,9.57,11.93,8.81,8.04,9.08,19.63,8.11
10000,1000,5,5,10,25,0.25,1,mixed,Model6,t.distr,0.5,TRUE,12.94,11.47,17.32,12.02,10.47,11.08,24.94,9.83
10000,1000,5,5,10,25,0.75,1,mixed,Model7,t.distr,0.5,TRUE,10.7,13.44,12.11,15.79,7.73,14.47,19.21,12.22
10000,1000,5,5,10,25,0,1,mixed,Model6,normal,0.5,TRUE,10.54,9.58,14.7,9.83,9.71,10.22,22.16,9.37
10000,1000,5,5,10,25,0,1,mixed,Model2,t.distr,0.5,TRUE,8.94,9,10.89,9.18,5.37,8.47,15.32,7.16
10000,1000,5,5,10,25,0.75,1,mixed,Model6,t.distr,0.5,TRUE,16.25,14.15,19.46,14.29,13.74,13.39,29.95,10.11
10000,1000,5,5,10,25,0.5,1,mixed,Model5,t.distr,0.5,TRUE,13.09,11.74,15.78,11.07,10.12,10.28,23.95,10.12
10000,1000,5,5,10,25,0,1,mixed,Model5,t.distr,0.5,TRUE,11.08,10.13,14.74,10.14,8.33,9.32,21.7,9.87
10000,1000,5,5,10,25,0.25,1,mixed,Model1,t.distr,0.5,TRUE,6.63,6.93,6.5,5.68,3.32,5.37,9.44,4.08
10000,1000,5,5,10,25,0,1,mixed,Model2,normal,0.5,TRUE,8.24,8.33,9.73,8.33,5.87,8.59,14.97,7
10000,1000,5,5,10,25,0.75,1,mixed,Model1,t.distr,0.5,TRUE,6.84,6.9,6.21,5.94,3.85,5.01,9.91,3.59
10000,1000,5,5,10,25,0.25,1,mixed,Model5,t.distr,0.5,TRUE,11.7,10.49,14.8,10.47,8.59,9.58,22.36,9.6
10000,1000,5,5,10,25,0,1,mixed,Model3,t.distr,0.5,TRUE,13.19,12.21,19.46,14.86,10.45,14.31,23.76,10.47
10000,1000,5,5,10,25,0.75,1,mixed,Model4,t.distr,0.5,TRUE,6.77,6.78,6.38,6,4.04,5.1,11.06,4.23
10000,1000,5,5,10,25,0.25,1,mixed,Model3,t.distr,0.5,TRUE,14.42,13.29,20.57,16,11.09,15.63,25.72,10.89
10000,1000,5,5,10,25,0.25,1,mixed,Model7,normal,0.5,TRUE,8.5,9.5,10.19,10.64,6.36,10.27,16.59,10.02
10000,1000,5,5,10,25,0.75,1,mixed,Model1,normal,0.5,TRUE,6.43,6.72,6.24,6.05,4.86,5.84,11.61,4.1
10000,1000,5,5,5,25,0.5,1,mixed,Model7,normal,0.5,TRUE,8.72,9.66,8.17,9.58,6.29,9.94,15.64,8.74
10000,1000,5,5,5,25,0.25,1,mixed,Model4,t.distr,0.5,TRUE,6.41,6.48,5.58,5.11,3.22,5.24,9.53,4.97
10000,1000,5,5,10,25,0.25,1,mixed,Model3,normal,0.5,TRUE,12.73,11.95,17.67,14.25,11.28,14.89,24.14,10.42
10000,1000,5,5,10,25,0,1,mixed,Model5,normal,0.5,TRUE,10.08,9.41,12.78,9.46,8.56,9.45,20.81,9.52
10000,1000,5,5,10,25,0.5,1,mixed,Model6,normal,0.5,TRUE,12.75,11.1,15.81,11.37,11.62,10.92,25.25,9.31
10000,1000,5,5,10,25,0.75,1,mixed,Model4,normal,0.5,TRUE,6.38,6.42,6.2,5.99,4.82,5.69,12.15,4.73
10000,1000,5,5,10,25,0.75,1,mixed,Model6,normal,0.5,TRUE,13.92,12.48,16.28,13.18,13.3,12.22,27.36,9.6
10000,1000,5,5,10,25,0,1,mixed,Model7,t.distr,0.5,TRUE,8.54,9.34,10.77,10.95,5.65,10.11,15.73,9.86
10000,1000,5,5,5,25,0.25,1,mixed,Model7,normal,0.5,TRUE,8.15,9.08,8.04,8.91,5.69,9.06,14.78,8.34
10000,1000,5,5,10,25,0,1,mixed,Model7,normal,0.5,TRUE,8.51,8.86,9.89,9.97,6.16,9.72,15.85,9.53
10000,1000,5,5,10,25,0,1,mixed,Model6,t.distr,0.5,TRUE,11.96,10.67,16.81,11.07,9.61,10.44,23.79,9.73
10000,1000,5,5,10,25,0,1,mixed,Model1,t.distr,0.5,TRUE,6.8,6.76,6.49,5.59,3.45,5.63,9.4,4.49
10000,1000,5,10,10,25,0.25,1,mixed,Model7,normal,0.5,TRUE,8.61,9.35,9.79,11.37,7.02,12.11,17.24,10.66
10000,1000,5,5,10,25,0.5,1,mixed,Model3,normal,0.5,TRUE,14.62,12.96,18.91,15.51,12.46,16.96,26.66,11.25
10000,1000,5,5,10,25,0.5,1,mixed,Model7,normal,0.5,TRUE,8.66,9.93,10.06,11.51,6.93,11.23,17.38,10.46
10000,1000,5,5,10,25,0.5,1,mixed,Model4,normal,0.5,TRUE,6.57,6.76,6.29,5.64,4.48,5.72,11.43,5.36
10000,1000,5,10,10,25,0,1,mixed,Model7,t.distr,0.5,TRUE,8.8,9.26,10.55,12.96,5.87,12.08,17.03,11.22
10000,1000,5,10,10,25,0.75,1,mixed,Model1,t.distr,0.5,TRUE,6.54,6.6,5.32,5.36,3.86,4.98,9.59,3.4
10000,1000,5,10,10,25,0.5,1,mixed,Model7,t.distr,0.5,TRUE,9.53,11.37,10.7,16,6.96,15,18.51,12.54
10000,1000,5,10,10,25,0.25,1,mixed,Model6,normal,0.5,TRUE,12.02,10.78,17.92,11.1,13.44,11.27,27.9,9.64
10000,1000,5,5,10,25,0,1,mixed,Model3,normal,0.5,TRUE,11.58,10.69,16.66,12.98,10.17,13.66,22.74,9.6
10000,1000,5,5,10,25,0.5,1,mixed,Model5,normal,0.5,TRUE,11.31,10.36,13.86,10.56,10.25,10.48,23.19,10.05
10000,1000,5,5,5,25,0.25,1,mixed,Model6,normal,0.5,TRUE,11.38,10.33,12.53,9.55,8.9,9.67,20.8,8.29
10000,1000,5,5,10,25,0.25,1,mixed,Model7,t.distr,0.5,TRUE,9.21,10,11.19,11.74,5.86,10.79,16.63,10.24
10000,1000,5,5,10,25,0.75,1,mixed,Model3,normal,0.5,TRUE,16.8,15.81,20.83,18.69,14.25,21.61,30.42,12.92
10000,1000,5,5,5,25,0,1,mixed,Model4,normal,0.5,TRUE,6.51,6.08,5.43,5.09,3.77,5.79,10.06,5.38
10000,1000,5,5,5,25,0,1,mixed,Model5,t.distr,0.5,TRUE,11.01,9.64,11.85,8.82,7.16,8.41,18.64,8.6
10000,1000,5,10,10,25,0,1,mixed,Model4,normal,0.5,TRUE,6.4,6.82,5.1,5.38,3.89,6.34,10.39,5.7
10000,1000,5,10,10,25,0.5,1,mixed,Model6,normal,0.5,TRUE,13.37,11.73,18.38,12.18,15.2,12.52,29.47,10.04
10000,1000,5,10,10,25,0,1,mixed,Model5,t.distr,0.5,TRUE,10.98,9.67,15.64,9.75,9.9,9.46,24.87,9.31
10000,1000,5,10,10,25,0.5,1,mixed,Model4,normal,0.5,TRUE,6.2,6.72,5.24,5.46,4.28,6.05,10.93,5.41
10000,1000,5,10,10,25,0,1,mixed,Model3,t.distr,0.5,TRUE,13.23,11.79,23.26,16.77,13.45,16.07,30.49,9.82
10000,1000,5,10,10,25,0.25,1,mixed,Model5,normal,0.5,TRUE,10.52,9.48,14.23,9.13,10.84,9.78,24.9,9.15
10000,1000,5,10,10,25,0.75,1,mixed,Model2,t.distr,0.5,TRUE,10.63,10.63,12.16,11.91,8,12.05,19.99,8.03
10000,1000,5,10,10,25,0.5,1,mixed,Model4,t.distr,0.5,TRUE,6.53,6.57,5.07,5.16,3.45,5.4,10.2,4.66
10000,1000,5,10,10,25,0,1,mixed,Model1,normal,0.5,TRUE,6.69,6.88,4.98,5.41,3.78,6.36,9.56,4.46
10000,1000,5,10,10,25,0.5,1,mixed,Model3,normal,0.5,TRUE,14.99,13.61,22.16,18.19,15.88,20.15,31.97,11.58
10000,1000,5,10,10,25,0,1,mixed,Model1,t.distr,0.5,TRUE,6.65,6.71,5.19,5.36,3.01,5.59,8.64,4.16
10000,1000,5,10,10,25,0.75,1,mixed,Model4,t.distr,0.5,TRUE,6.47,6.47,5.02,5.28,3.84,4.48,10.26,3.7
10000,1000,5,10,10,25,0,1,mixed,Model6,normal,0.5,TRUE,11.45,9.71,17.02,10.16,12.53,10.67,26.63,8.92
10000,1000,5,10,10,25,0.25,1,mixed,Model4,normal,0.5,TRUE,6.41,6.61,5.34,5,4.26,6,10.36,5.38
10000,1000,5,5,10,25,0.75,1,mixed,Model5,normal,0.5,TRUE,12.18,11.38,14.24,11.44,11.43,11.17,24.86,9.35
10000,1000,5,10,10,25,0.5,1,mixed,Model2,t.distr,0.5,TRUE,10.12,9.64,11.59,10.18,7.06,10,18.05,7.44
10000,1000,5,10,10,25,0.25,1,mixed,Model7,t.distr,0.5,TRUE,9.2,9.84,10.47,13.9,6.44,13.18,17.66,11.7
